,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
0,0.1,0,848,2,1
1,0.09,0.01,725,2,3
2,0.09,0.02,635,2,5
3,0.1,0.03,547,2,7
4,0.1,0.03,485,2,9
5,0.1,0.04,453,2,11
6,0.1,0.04,434,2,13
7,0.1,0.04,428,2,15
8,0.1,0.05,403,2,17
9,0.1,0.05,380,2,19
10,0.1,0.05,378,2,21
11,0.1,0.06,357,2,23
12,0.1,0.06,343,2,25
13,0.1,0.06,329,2,27
14,0.1,0.07,322,2,29
15,0.1,0.07,326,2,31
16,0.09,0.07,327,2,33
17,0.09,0.07,327,2,35
18,0.09,0.07,317,2,37
19,0.09,0.08,306,2,39
20,0.09,0.08,303,2,41
21,0.09,0.08,299,2,43
22,0.09,0.08,289,2,45
23,0.09,0.08,286,2,47
24,0.09,0.08,280,2,49
25,0.09,0.09,277,2,51
26,0.09,0.09,272,2,53
27,0.09,0.09,267,2,55
28,0.09,0.09,260,2,57
29,0.09,0.09,261,2,59
30,0.09,0.1,260,2,61
31,0.09,0.1,256,2,63
32,0.09,0.1,256,2,65
33,0.09,0.1,254,2,67
34,0.09,0.1,249,2,69
35,0.09,0.1,257,2,71
36,0.09,0.1,254,2,73
37,0.09,0.1,254,2,75
38,0.09,0.1,251,2,77
39,0.09,0.1,259,2,79
40,0.09,0.1,257,2,81
41,0.09,0.1,254,2,83
42,0.09,0.1,256,2,85
43,0.09,0.1,260,2,87
44,0.09,0.1,256,2,89
45,0.09,0.1,256,2,91
46,0.09,0.1,256,2,93
47,0.09,0.1,259,2,95
48,0.09,0.1,259,2,97
49,0.09,0.1,258,2,99
50,0.16,0.01,792,4,1
51,0.14,0.02,619,4,3
52,0.14,0.03,507,4,5
53,0.13,0.03,450,4,7
54,0.13,0.04,397,4,9
55,0.12,0.04,379,4,11
56,0.11,0.05,339,4,13
57,0.11,0.06,316,4,15
58,0.11,0.06,288,4,17
59,0.11,0.07,259,4,19
60,0.11,0.08,243,4,21
61,0.1,0.08,229,4,23
62,0.1,0.09,216,4,25
63,0.1,0.09,203,4,27
64,0.1,0.1,187,4,29
65,0.1,0.1,178,4,31
66,0.1,0.11,165,4,33
67,0.1,0.11,154,4,35
68,0.1,0.12,147,4,37
69,0.1,0.12,143,4,39
70,0.09,0.13,140,4,41
71,0.09,0.13,139,4,43
72,0.09,0.13,139,4,45
73,0.09,0.14,134,4,47
74,0.09,0.14,134,4,49
75,0.09,0.15,125,4,51
76,0.09,0.15,124,4,53
77,0.09,0.15,125,4,55
78,0.09,0.16,120,4,57
79,0.09,0.16,125,4,59
80,0.09,0.16,121,4,61
81,0.09,0.17,117,4,63
82,0.09,0.17,115,4,65
83,0.09,0.17,109,4,67
84,0.09,0.18,109,4,69
85,0.09,0.18,101,4,71
86,0.09,0.18,103,4,73
87,0.09,0.18,100,4,75
88,0.09,0.19,102,4,77
89,0.09,0.19,100,4,79
90,0.08,0.19,101,4,81
91,0.08,0.2,102,4,83
92,0.09,0.2,100,4,85
93,0.08,0.2,93,4,87
94,0.09,0.2,96,4,89
95,0.08,0.2,91,4,91
96,0.09,0.2,92,4,93
97,0.09,0.21,89,4,95
98,0.09,0.21,82,4,97
99,0.08,0.21,85,4,99
100,0.18,0.01,771,6,1
101,0.18,0.02,562,6,3
102,0.16,0.03,467,6,5
103,0.15,0.04,407,6,7
104,0.14,0.04,367,6,9
105,0.14,0.05,321,6,11
106,0.13,0.06,294,6,13
107,0.13,0.07,268,6,15
108,0.12,0.07,250,6,17
109,0.12,0.08,224,6,19
110,0.12,0.08,210,6,21
111,0.12,0.09,193,6,23
112,0.11,0.1,184,6,25
113,0.11,0.1,179,6,27
114,0.11,0.11,170,6,29
115,0.11,0.11,160,6,31
116,0.11,0.12,151,6,33
117,0.11,0.12,143,6,35
118,0.1,0.13,137,6,37
119,0.1,0.13,134,6,39
120,0.1,0.14,131,6,41
121,0.1,0.14,121,6,43
122,0.1,0.15,113,6,45
123,0.1,0.15,111,6,47
124,0.1,0.16,108,6,49
125,0.1,0.16,101,6,51
126,0.09,0.16,97,6,53
127,0.09,0.17,94,6,55
128,0.09,0.17,89,6,57
129,0.09,0.18,89,6,59
130,0.09,0.18,87,6,61
131,0.09,0.18,83,6,63
132,0.09,0.19,77,6,65
133,0.09,0.19,76,6,67
134,0.09,0.2,71,6,69
135,0.09,0.2,67,6,71
136,0.09,0.2,66,6,73
137,0.09,0.21,64,6,75
138,0.09,0.21,64,6,77
139,0.09,0.22,63,6,79
140,0.08,0.22,63,6,81
141,0.08,0.22,61,6,83
142,0.08,0.23,60,6,85
143,0.08,0.23,57,6,87
144,0.08,0.23,59,6,89
145,0.08,0.24,56,6,91
146,0.08,0.24,58,6,93
147,0.08,0.25,52,6,95
148,0.08,0.25,49,6,97
149,0.08,0.25,50,6,99
150,0.18,0.01,774,8,1
151,0.17,0.02,576,8,3
152,0.17,0.03,462,8,5
153,0.16,0.04,399,8,7
154,0.15,0.05,355,8,9
155,0.15,0.06,311,8,11
156,0.14,0.06,271,8,13
157,0.14,0.07,247,8,15
158,0.13,0.08,224,8,17
159,0.13,0.09,210,8,19
160,0.13,0.09,198,8,21
161,0.13,0.1,184,8,23
162,0.12,0.1,175,8,25
163,0.12,0.11,168,8,27
164,0.12,0.12,153,8,29
165,0.12,0.12,138,8,31
166,0.12,0.13,130,8,33
167,0.11,0.13,126,8,35
168,0.11,0.14,118,8,37
169,0.11,0.14,115,8,39
170,0.11,0.15,112,8,41
171,0.11,0.15,110,8,43
172,0.11,0.16,107,8,45
173,0.1,0.16,98,8,47
174,0.1,0.17,97,8,49
175,0.1,0.17,92,8,51
176,0.1,0.17,88,8,53
177,0.1,0.18,85,8,55
178,0.1,0.18,81,8,57
179,0.1,0.19,79,8,59
180,0.1,0.19,77,8,61
181,0.1,0.2,74,8,63
182,0.1,0.2,70,8,65
183,0.09,0.2,68,8,67
184,0.09,0.21,66,8,69
185,0.09,0.21,64,8,71
186,0.09,0.22,64,8,73
187,0.09,0.22,63,8,75
188,0.09,0.22,61,8,77
189,0.09,0.23,61,8,79
190,0.09,0.23,60,8,81
191,0.09,0.23,58,8,83
192,0.09,0.24,55,8,85
193,0.09,0.24,51,8,87
194,0.09,0.25,51,8,89
195,0.09,0.25,50,8,91
196,0.09,0.26,48,8,93
197,0.08,0.26,47,8,95
198,0.08,0.26,44,8,97
199,0.08,0.27,44,8,99
200,0.2,0.01,755,10,1
201,0.17,0.02,575,10,3
202,0.17,0.03,452,10,5
203,0.16,0.04,391,10,7
204,0.16,0.05,341,10,9
205,0.15,0.06,300,10,11
206,0.15,0.06,276,10,13
207,0.14,0.07,251,10,15
208,0.14,0.08,231,10,17
209,0.14,0.09,213,10,19
210,0.13,0.09,194,10,21
211,0.13,0.1,181,10,23
212,0.13,0.11,174,10,25
213,0.13,0.12,154,10,27
214,0.13,0.12,146,10,29
215,0.12,0.13,130,10,31
216,0.12,0.13,124,10,33
217,0.12,0.14,116,10,35
218,0.12,0.15,110,10,37
219,0.12,0.15,109,10,39
220,0.11,0.16,105,10,41
221,0.11,0.16,100,10,43
222,0.11,0.16,98,10,45
223,0.11,0.17,95,10,47
224,0.11,0.17,89,10,49
225,0.11,0.18,85,10,51
226,0.11,0.18,80,10,53
227,0.1,0.19,76,10,55
228,0.1,0.2,74,10,57
229,0.1,0.2,68,10,59
230,0.1,0.2,66,10,61
231,0.1,0.21,65,10,63
232,0.1,0.21,64,10,65
233,0.1,0.22,62,10,67
234,0.1,0.22,60,10,69
235,0.1,0.23,57,10,71
236,0.1,0.23,53,10,73
237,0.1,0.23,52,10,75
238,0.09,0.24,51,10,77
239,0.09,0.24,50,10,79
240,0.09,0.25,49,10,81
241,0.09,0.25,47,10,83
242,0.09,0.25,47,10,85
243,0.09,0.26,44,10,87
244,0.09,0.26,41,10,89
245,0.09,0.26,39,10,91
246,0.09,0.27,39,10,93
247,0.09,0.27,36,10,95
248,0.09,0.28,36,10,97
249,0.09,0.28,36,10,99
250,0.21,0.01,740,12,1
251,0.19,0.02,548,12,3
252,0.18,0.03,454,12,5
253,0.17,0.04,384,12,7
254,0.16,0.05,346,12,9
255,0.15,0.06,310,12,11
256,0.15,0.06,277,12,13
257,0.15,0.07,258,12,15
258,0.14,0.08,236,12,17
259,0.14,0.09,223,12,19
260,0.14,0.09,201,12,21
261,0.13,0.1,180,12,23
262,0.13,0.11,169,12,25
263,0.13,0.12,156,12,27
264,0.13,0.12,144,12,29
265,0.13,0.13,132,12,31
266,0.13,0.14,125,12,33
267,0.12,0.14,120,12,35
268,0.12,0.15,114,12,37
269,0.12,0.15,109,12,39
270,0.12,0.16,106,12,41
271,0.12,0.17,101,12,43
272,0.12,0.17,97,12,45
273,0.11,0.18,88,12,47
274,0.11,0.18,84,12,49
275,0.11,0.19,79,12,51
276,0.11,0.19,78,12,53
277,0.11,0.2,73,12,55
278,0.11,0.2,68,12,57
279,0.11,0.21,66,12,59
280,0.11,0.21,66,12,61
281,0.1,0.21,61,12,63
282,0.1,0.22,59,12,65
283,0.1,0.22,58,12,67
284,0.1,0.23,54,12,69
285,0.1,0.23,52,12,71
286,0.1,0.23,51,12,73
287,0.1,0.24,49,12,75
288,0.1,0.24,47,12,77
289,0.1,0.25,46,12,79
290,0.1,0.25,45,12,81
291,0.1,0.26,43,12,83
292,0.09,0.26,41,12,85
293,0.09,0.26,40,12,87
294,0.09,0.27,39,12,89
295,0.09,0.27,38,12,91
296,0.09,0.27,37,12,93
297,0.09,0.28,34,12,95
298,0.09,0.28,34,12,97
299,0.09,0.28,34,12,99
300,0.23,0.01,727,14,1
301,0.21,0.02,515,14,3
302,0.19,0.03,437,14,5
303,0.18,0.04,381,14,7
304,0.17,0.05,335,14,9
305,0.16,0.06,306,14,11
306,0.15,0.07,283,14,13
307,0.15,0.07,262,14,15
308,0.14,0.08,249,14,17
309,0.14,0.09,226,14,19
310,0.14,0.09,210,14,21
311,0.14,0.1,192,14,23
312,0.13,0.11,182,14,25
313,0.13,0.12,166,14,27
314,0.13,0.12,154,14,29
315,0.13,0.13,148,14,31
316,0.13,0.13,143,14,33
317,0.13,0.14,128,14,35
318,0.12,0.15,121,14,37
319,0.12,0.16,112,14,39
320,0.12,0.16,100,14,41
321,0.12,0.17,95,14,43
322,0.12,0.17,92,14,45
323,0.12,0.18,86,14,47
324,0.12,0.19,82,14,49
325,0.12,0.19,79,14,51
326,0.11,0.2,75,14,53
327,0.11,0.2,71,14,55
328,0.11,0.21,67,14,57
329,0.11,0.21,65,14,59
330,0.11,0.22,60,14,61
331,0.11,0.22,58,14,63
332,0.11,0.23,57,14,65
333,0.11,0.23,53,14,67
334,0.11,0.23,50,14,69
335,0.1,0.24,45,14,71
336,0.1,0.24,44,14,73
337,0.1,0.25,41,14,75
338,0.1,0.25,38,14,77
339,0.1,0.26,37,14,79
340,0.1,0.26,37,14,81
341,0.1,0.26,33,14,83
342,0.1,0.27,32,14,85
343,0.1,0.27,31,14,87
344,0.1,0.27,30,14,89
345,0.09,0.28,27,14,91
346,0.09,0.28,27,14,93
347,0.09,0.29,27,14,95
348,0.09,0.29,27,14,97
349,0.09,0.29,27,14,99
350,0.25,0.01,711,16,1
351,0.21,0.02,514,16,3
352,0.2,0.03,408,16,5
353,0.18,0.04,359,16,7
354,0.17,0.05,322,16,9
355,0.16,0.06,296,16,11
356,0.16,0.07,273,16,13
357,0.15,0.07,246,16,15
358,0.15,0.08,225,16,17
359,0.14,0.09,211,16,19
360,0.14,0.09,198,16,21
361,0.14,0.1,183,16,23
362,0.13,0.11,172,16,25
363,0.13,0.11,166,16,27
364,0.13,0.12,152,16,29
365,0.13,0.13,141,16,31
366,0.13,0.14,134,16,33
367,0.13,0.14,124,16,35
368,0.12,0.15,111,16,37
369,0.12,0.16,107,16,39
370,0.12,0.16,100,16,41
371,0.12,0.17,95,16,43
372,0.12,0.18,89,16,45
373,0.12,0.18,85,16,47
374,0.12,0.19,77,16,49
375,0.12,0.19,72,16,51
376,0.12,0.2,67,16,53
377,0.12,0.2,65,16,55
378,0.11,0.21,61,16,57
379,0.11,0.22,56,16,59
380,0.11,0.22,52,16,61
381,0.11,0.23,46,16,63
382,0.11,0.23,41,16,65
383,0.11,0.24,39,16,67
384,0.11,0.24,35,16,69
385,0.11,0.25,34,16,71
386,0.11,0.25,33,16,73
387,0.11,0.26,33,16,75
388,0.1,0.26,33,16,77
389,0.1,0.27,32,16,79
390,0.1,0.27,30,16,81
391,0.1,0.27,28,16,83
392,0.1,0.28,26,16,85
393,0.1,0.28,23,16,87
394,0.1,0.28,21,16,89
395,0.1,0.29,21,16,91
396,0.1,0.29,20,16,93
397,0.1,0.29,19,16,95
398,0.1,0.3,19,16,97
399,0.09,0.3,19,16,99
400,0.26,0.01,695,18,1
401,0.22,0.02,506,18,3
402,0.2,0.03,408,18,5
403,0.18,0.04,357,18,7
404,0.17,0.05,314,18,9
405,0.17,0.06,287,18,11
406,0.16,0.07,264,18,13
407,0.15,0.07,239,18,15
408,0.15,0.08,217,18,17
409,0.14,0.09,207,18,19
410,0.14,0.09,196,18,21
411,0.14,0.1,180,18,23
412,0.14,0.11,171,18,25
413,0.13,0.11,163,18,27
414,0.13,0.12,155,18,29
415,0.13,0.13,146,18,31
416,0.13,0.13,138,18,33
417,0.13,0.14,128,18,35
418,0.12,0.15,122,18,37
419,0.12,0.15,110,18,39
420,0.12,0.16,103,18,41
421,0.12,0.17,98,18,43
422,0.12,0.17,96,18,45
423,0.12,0.18,90,18,47
424,0.12,0.19,84,18,49
425,0.12,0.19,81,18,51
426,0.12,0.2,73,18,53
427,0.12,0.2,65,18,55
428,0.11,0.21,64,18,57
429,0.11,0.22,61,18,59
430,0.11,0.22,58,18,61
431,0.11,0.23,56,18,63
432,0.11,0.23,53,18,65
433,0.11,0.24,49,18,67
434,0.11,0.24,46,18,69
435,0.11,0.25,44,18,71
436,0.11,0.25,42,18,73
437,0.11,0.26,39,18,75
438,0.11,0.27,38,18,77
439,0.11,0.27,36,18,79
440,0.1,0.27,36,18,81
441,0.1,0.28,34,18,83
442,0.1,0.28,34,18,85
443,0.1,0.28,31,18,87
444,0.1,0.29,28,18,89
445,0.1,0.29,28,18,91
446,0.1,0.3,26,18,93
447,0.1,0.3,26,18,95
448,0.1,0.31,26,18,97
449,0.1,0.31,26,18,99
450,0.27,0.01,686,20,1
451,0.23,0.02,503,20,3
452,0.2,0.04,409,20,5
453,0.19,0.04,351,20,7
454,0.18,0.05,306,20,9
455,0.17,0.06,280,20,11
456,0.16,0.07,258,20,13
457,0.16,0.07,248,20,15
458,0.15,0.08,236,20,17
459,0.15,0.09,221,20,19
460,0.14,0.09,208,20,21
461,0.14,0.1,198,20,23
462,0.14,0.11,187,20,25
463,0.13,0.11,178,20,27
464,0.13,0.12,171,20,29
465,0.13,0.12,157,20,31
466,0.13,0.13,145,20,33
467,0.13,0.14,138,20,35
468,0.12,0.14,129,20,37
469,0.12,0.15,123,20,39
470,0.12,0.16,111,20,41
471,0.12,0.17,104,20,43
472,0.12,0.17,97,20,45
473,0.12,0.18,95,20,47
474,0.12,0.18,93,20,49
475,0.12,0.19,89,20,51
476,0.12,0.2,84,20,53
477,0.12,0.2,82,20,55
478,0.12,0.21,77,20,57
479,0.12,0.21,73,20,59
480,0.11,0.22,69,20,61
481,0.11,0.23,65,20,63
482,0.11,0.23,61,20,65
483,0.11,0.24,59,20,67
484,0.11,0.24,53,20,69
485,0.11,0.25,51,20,71
486,0.11,0.25,48,20,73
487,0.11,0.26,48,20,75
488,0.11,0.26,48,20,77
489,0.11,0.27,44,20,79
490,0.11,0.27,40,20,81
491,0.1,0.28,38,20,83
492,0.1,0.28,37,20,85
493,0.1,0.29,36,20,87
494,0.1,0.29,35,20,89
495,0.1,0.29,33,20,91
496,0.1,0.3,33,20,93
497,0.1,0.3,31,20,95
498,0.1,0.31,31,20,97
499,0.1,0.31,30,20,99
500,0.26,0.01,701,22,1
501,0.23,0.03,501,22,3
502,0.21,0.04,385,22,5
503,0.19,0.05,325,22,7
504,0.18,0.06,284,22,9
505,0.17,0.06,264,22,11
506,0.17,0.07,245,22,13
507,0.16,0.08,230,22,15
508,0.16,0.09,212,22,17
509,0.15,0.09,206,22,19
510,0.15,0.1,194,22,21
511,0.14,0.1,187,22,23
512,0.14,0.11,180,22,25
513,0.14,0.12,172,22,27
514,0.13,0.12,168,22,29
515,0.13,0.13,157,22,31
516,0.13,0.13,149,22,33
517,0.13,0.14,139,22,35
518,0.12,0.14,133,22,37
519,0.12,0.15,130,22,39
520,0.12,0.15,122,22,41
521,0.12,0.16,116,22,43
522,0.12,0.17,108,22,45
523,0.12,0.17,102,22,47
524,0.12,0.18,96,22,49
525,0.12,0.19,90,22,51
526,0.12,0.19,86,22,53
527,0.12,0.2,83,22,55
528,0.12,0.21,76,22,57
529,0.12,0.21,72,22,59
530,0.11,0.22,68,22,61
531,0.11,0.23,64,22,63
532,0.11,0.23,63,22,65
533,0.11,0.24,60,22,67
534,0.11,0.24,57,22,69
535,0.11,0.25,57,22,71
536,0.11,0.26,51,22,73
537,0.11,0.26,45,22,75
538,0.11,0.27,43,22,77
539,0.11,0.27,42,22,79
540,0.11,0.28,40,22,81
541,0.11,0.28,38,22,83
542,0.11,0.29,36,22,85
543,0.1,0.29,36,22,87
544,0.1,0.29,35,22,89
545,0.1,0.3,35,22,91
546,0.1,0.3,34,22,93
547,0.1,0.31,32,22,95
548,0.1,0.31,30,22,97
549,0.1,0.32,29,22,99
550,0.27,0.01,684,24,1
551,0.24,0.03,480,24,3
552,0.21,0.04,386,24,5
553,0.2,0.05,328,24,7
554,0.19,0.06,297,24,9
555,0.18,0.06,267,24,11
556,0.17,0.07,249,24,13
557,0.16,0.08,233,24,15
558,0.16,0.08,212,24,17
559,0.15,0.09,196,24,19
560,0.15,0.1,188,24,21
561,0.14,0.1,175,24,23
562,0.14,0.11,169,24,25
563,0.14,0.11,161,24,27
564,0.13,0.12,154,24,29
565,0.13,0.12,152,24,31
566,0.13,0.13,146,24,33
567,0.13,0.14,141,24,35
568,0.12,0.14,138,24,37
569,0.12,0.15,134,24,39
570,0.12,0.15,127,24,41
571,0.12,0.16,121,24,43
572,0.12,0.16,112,24,45
573,0.12,0.17,105,24,47
574,0.12,0.18,101,24,49
575,0.12,0.18,95,24,51
576,0.12,0.19,93,24,53
577,0.11,0.2,84,24,55
578,0.11,0.2,77,24,57
579,0.11,0.21,73,24,59
580,0.11,0.22,70,24,61
581,0.11,0.22,64,24,63
582,0.11,0.23,62,24,65
583,0.11,0.24,60,24,67
584,0.11,0.24,58,24,69
585,0.11,0.25,54,24,71
586,0.11,0.25,52,24,73
587,0.11,0.26,49,24,75
588,0.11,0.26,46,24,77
589,0.11,0.27,44,24,79
590,0.11,0.27,41,24,81
591,0.11,0.28,40,24,83
592,0.11,0.29,39,24,85
593,0.11,0.29,38,24,87
594,0.1,0.29,36,24,89
595,0.1,0.3,35,24,91
596,0.1,0.3,35,24,93
597,0.1,0.31,34,24,95
598,0.1,0.31,33,24,97
599,0.1,0.32,30,24,99
600,0.27,0.01,683,26,1
601,0.25,0.03,457,26,3
602,0.22,0.04,369,26,5
603,0.2,0.05,315,26,7
604,0.19,0.06,274,26,9
605,0.18,0.07,249,26,11
606,0.17,0.07,230,26,13
607,0.16,0.08,215,26,15
608,0.16,0.09,196,26,17
609,0.15,0.09,185,26,19
610,0.15,0.1,179,26,21
611,0.14,0.11,170,26,23
612,0.14,0.11,163,26,25
613,0.14,0.12,155,26,27
614,0.13,0.12,147,26,29
615,0.13,0.13,146,26,31
616,0.13,0.13,143,26,33
617,0.13,0.14,136,26,35
618,0.12,0.14,133,26,37
619,0.12,0.15,129,26,39
620,0.12,0.15,125,26,41
621,0.12,0.16,118,26,43
622,0.12,0.16,111,26,45
623,0.12,0.17,106,26,47
624,0.12,0.18,96,26,49
625,0.12,0.18,94,26,51
626,0.11,0.19,92,26,53
627,0.11,0.19,88,26,55
628,0.11,0.2,86,26,57
629,0.11,0.21,81,26,59
630,0.11,0.21,76,26,61
631,0.11,0.22,75,26,63
632,0.11,0.22,72,26,65
633,0.11,0.23,67,26,67
634,0.11,0.24,64,26,69
635,0.11,0.24,59,26,71
